시도,충전소명,위도,경도
강원도,강릉더샵 아파트,37.750646,128.90994
강원도,강릉특별지사,37.78217537,128.9188097
강원도,그린내하우스,37.7608299,128.918984
강원도,봉평면사무소,37.6161884,128.3797302
강원도,강원도교육연수원,37.78644219,128.9183389
강원도,강릉아이스아레나 주차장,37.78014239,128.896548
강원도,평창휴게소(강릉방향),37.60563321,128.452799
강원도,강원지방기상청,37.80407571,128.8539566
강원도,구정휴게소(동해방향),37.72263751,128.8516266
강원도,강원테크노파크,37.8039414,128.85705
강원도,강원도환동해본부,37.88495412,128.8254879
강원도,강원영동병무지청,37.7488087,128.9077197
강원도,강릉농협 하나로마트,37.754689,128.901915
강원도,강릉축협 하나로마트,37.754163,128.91264
강원도,교1동주민센터,37.76554833,128.8745249
강원도,홍제동 공영주차장,37.75345,128.882694
강원도,주문진해수욕장,37.9101982,128.8178855
강원도,용평리조트,37.644172,128.676355
강원도,평창영월정선 축협,37.675396,128.700232
강원도,알펜시아리조트,37.65831,128.671943
강원도,녹색도시체험센터,37.788754,128.906722
강원도,송정동주민센터,37.774406,128.927799
강원도,해람중학교옆 공영주차장,37.75317321,128.8894272
강원도,강남동주민센터,37.744127,128.905083
강원도,강릉금호어울림,37.754144,128.918641
강원도,삼우골든아파트,37.760669,128.9060886
강원도,홍제힐스테이트,37.750758,128.882388
강원도,포남2주공아파트,37.78037631,128.9168789
강원도,평창올림픽선수촌아파트,37.6585171,128.6952573
강원도,기산그린타운연립,37.73444676,128.8808369
강원도,허균허난설헌기념공원,37.79114449,128.9100284
강원도,홈플러스 강릉점,37.755796,128.899269
강원도,청송 아파트,37.771891,128.913032
강원도,서희스타힐스리버파크,37.737238,128.865185
강원도,교동e-편한세상 아파트,37.770659,128.895989
강원도,강릉 교동2차현대아파트,37.763335,128.881193
강원도,보헤미안박이추 커피공장,37.84692736,128.8668603
강원도,교2동주민센터,37.76794191,128.8923834
강원도,성덕동주민센터,37.76350951,128.9137578
강원도,HAPPY700 평창시네마,37.589094,128.41683
강원도,대관령면 관광안내소,37.67866,128.699797
강원도,이마트 강릉점,37.771576,128.92239
강원도,경포해수욕장,37.802467,128.903439
강원도,강릉회산LH천년나무2단지,37.741866,128.877643
강원도,강원양돈농협 하나로마트,37.76333488,128.877279
강원도,강릉아레나체육관,37.7799325,128.8957368
강원도,봉평시장공용주차장,37.61542894,128.3761034
강원도,강원도립대학,37.87709544,128.8293685
강원도,하이빌현대아파트,37.76543286,128.8832784
강원도,감자연구소,37.81309477,128.834149
강원도,입암6주공아파트,37.75794439,128.9186045
강원도,태장위너빌아파트,37.64354071,128.5607498
강원도,LH선수촌8단지아파트,37.76234901,128.8676204
강원도,LH강원본부,37.868893,127.728485
강원도,춘천서부시장,37.88466076,127.7243826
강원도,LH해온채아파트,37.89711002,127.7512223
강원도,(춘천거두)초록지붕아파트,37.85370907,127.7520741
강원도,춘천극장몸짓,37.872498,127.727309
강원도,동면행정복지센터,37.91013466,127.7813917
강원도,국립춘천숲체원,37.99173948,127.7677408
강원도,춘천바이오산업진흥원,37.89297651,127.7442113
강원도,춘천휴게소(부산방향),37.81263676,127.7665396
강원도,춘천사회혁신파크,37.86440101,127.7356536
강원도,강원지방기상청 춘천기상대,37.94758822,127.7548163
강원도,석사현대아파트,37.8552232,127.7420448
강원도,애니메이션박물관,37.893901,127.689949
강원도,휴먼시아남춘천1단지,37.861432,127.734026
강원도,이마트 춘천점,37.863773,127.718142
강원도,보배 아파트,37.869698,127.713742
강원도,김유정문학마을,37.818462,127.716533
강원도,동내면사무소,37.848012,127.761109
강원도,후평1동행정복지센터,37.886091,127.745122
강원도,의암빙상장,37.854525,127.68773
강원도,강원직할,37.883416,127.750565
강원도,롯데캐슬 스카이클래스,37.870086,127.718276
강원도,홈플러스 춘천점,37.850563,127.734139
강원도,한국전기공개조합 춘천지점,37.84211747,127.7150055
강원도,강원도개발공사,37.85716591,127.7496775
강원도,공지천 공영주차장,37.874379,127.713098
강원도,강변코아루아파트,37.896963,127.735715
강원도,소양강 공영주차장,37.890401,127.721241
강원도,호반베르디움에코아파트,37.85508892,127.7602693
강원도,남산면사무소,37.792025,127.646031
강원도,송곡대학교,37.79190892,127.6525826
강원도,농어촌공사 강원본부,37.90498069,127.7275665
강원도,춘천 동부시장,37.87752822,127.7341076
강원도,신사우동사무소,37.905663,127.727618
강원도,옥계면사무소,37.612462,129.038121
강원도,지흥동 동해전력지사,37.51035721,129.0998008
강원도,동해지사,37.52551402,129.107521
강원도,동해금호어울림 아파트,37.52797365,129.1021977
강원도,동해코아루디오션,37.53212034,129.1138946
강원도,대동 아파트,37.48730677,129.1057699
강원도,"한양2,3차 아파트",37.5271469,129.1063793
강원도,희망Dream아파트,37.50591218,129.1278326
강원도,동해시 보건소,37.52233377,129.1171019
강원도,쌍용 아파트,37.52017291,129.1200493
강원도,동해 아이파크 아파트,37.47708209,129.1089177
강원도,동해역(ktx) 주차장,37.49693844,129.123027
강원도,동해푸르지오 아파트,37.52959601,129.0996907
강원도,동해지사(공용),37.52570357,129.1079442
강원도,사랑Dream아파트,37.53160341,129.1014392
강원도,구호동 자유무역지역관리원,37.48084188,129.153095
강원도,부곡동 행정복지센터,37.53597216,129.106472
강원도,이마트 동해점,37.524239,129.117692
강원도,삼척 한양아파트,37.43928214,129.1513972
강원도,한국남부발전 복지관 급속 충전소,37.1037,129.2023
강원도,동화3차 아파트,37.44198836,129.1690649
강원도,신동아 아파트,37.44970031,129.1757172
강원도,e편한세상삼척교동아파트,37.45292146,129.1718253
강원도,삼척지사,37.43432532,129.1779429
강원도,현진에버빌 아파트,37.44486,129.174448
강원도,코아루타워아파트,37.45107529,129.1710746
강원도,삼척오션빌,37.19725964,129.3362721
강원도,청솔1차아파트,37.44721371,129.1760108
강원도,삼척마달세영리첼아파트,37.45046433,129.1559348
강원도,홈플러스 삼척점,37.44637717,129.168325
강원도,동부아파트,37.45598317,129.1655932
강원도,대한석탄공사 도계광업소 급속 충전소,37.1351,129.0238
강원도,현대아파트,37.44030294,129.1522897
강원도,성호아파트,38.18481464,128.5988822
강원도,금호대명(서울대명2차) 아파트,38.209818,128.580804
강원도,속초지사,38.2117614,128.5905531
강원도,현대1차 아파트,38.20734872,128.5724646
강원도,대명늘푸른 아파트,38.205736,128.570848
강원도,국민체육센터,38.435167,128.452743
강원도,고성석미모닝파크,38.37809,128.462903
강원도,죽왕면사무소,38.32916863,128.5257194
강원도,고성지사,38.38024127,128.4731958
강원도,속초연수원,38.19001263,128.5518064
강원도,영랑호 인트라움,38.22264459,128.5840186
강원도,청호동 아이파크,38.19283819,128.5991813
경상남도,고성소방서,38.37671404,128.4725695
강원도,이마트 속초점,38.19092704,128.5960889
강원도,속초해양경찰서,38.21228638,128.5976834
강원도,잼버리수영장,38.22268821,128.4975009
강원도,국민건강보험공단,38.19013277,128.5924422
강원도,양구지사,38.108207,127.986211
