충전소명,위도,경도
공무원연금공단 서울지부(상록회관),37.50409983,127.0429445
래미안강남힐즈,37.47265589,127.0958063
대치2문화센터 공영주차장,37.50233306,127.0642143
LH강남힐스테이트,37.471028,127.088781
세곡푸르지오아파트,37.46735445,127.0934279
대치현대 아파트,37.50044831,127.0605124
우정에쉐르 3차,37.50687519,127.0622276
청담파크파라곤,37.52137974,127.0545474
래미안대치하이스턴 아파트,37.50151245,127.0654757
삼성우정에쉐르아파트,37.51728078,127.044511
래미안삼성1차,37.51716375,127.0639329
강남아이파크,37.474774,127.101196
도성 아파트,37.50113418,127.0583189
강남한신휴 플러스8단지,37.469852,127.110746
강남데시앙파크,37.46104609,127.1015425
세곡리엔파크1단지,37.4641001,127.100969
헌릉로745길 노상주차장,37.47025669,127.1184619
아크로힐스논현,37.50957023,127.0387042
타워팰리스G동,37.48776235,127.0525283
라테라스삼성,37.515489,127.065721
도곡렉슬 아파트,37.49420756,127.049733
금호어울림 아파트(삼성동),37.51673264,127.0647107
청담래미안로이뷰,37.52475952,127.0562105
삼성동한일아파트,37.51394035,127.0500345
역삼e-편한세상,37.498557,127.049722
강남구청 공영주차장,37.517705,127.046821
삼성파크 아파트,37.50921292,127.0538237
개나리푸르지오,37.49967764,127.0495726
삼성동힐스테이트2단지,37.513789,127.051413
역삼2차아이파크아파트,37.496746,127.051602
강남세브란스 병원,37.492949,127.046255
개나리래미안 아파트,37.49897682,127.046594
청담자이 아파트,37.52410309,127.0572508
압구정하이츠파크,37.52408696,127.0335984
가람아파트,37.481773,127.085611
삼성중앙하이츠빌리지,37.51657903,127.0465082
강남한신휴플러스6단지 아파트,37.468095,127.105372
샘터마을 아파트,37.48520065,127.0826748
타워팰리스1차,37.48806826,127.0534829
삼성동 에스케이뷰 아파트,37.5163181,127.0648642
강남한양수자인,37.475905,127.112986
세곡리엔파크2단지 아파트,37.464099,127.102849
세곡리엔파크3단지,37.463952,127.104109
래미안대치팰리스,37.49343628,127.0576978
강남데시앙포레,37.480807,127.09049
역삼래미안,37.497198,127.050153
현대까르띠에710아파트,37.50152205,127.0449314
타워팰리스 2차,37.48947719,127.0540357
래미안그레이튼,37.496565,127.04824
아이파크삼성동,37.51839681,127.0595495
개포7차 우성 아파트,37.49324368,127.0791149
도곡대림아크로빌,37.48814158,127.0506742
LH서울지사,37.514473,127.040862
삼성동현대아파트,37.51676357,127.0446125
강남전력지사,37.485861,127.028034
현대백화점 천호점,37.539426,127.124332
길동삼익파크,37.544819,127.1478
송파파크데일2단지,37.49633944,127.1581639
가락우성2차 아파트,37.49201421,127.1254709
고덕리엔파크3단지 아파트,37.55371,127.175019
송파파인타운10단지,37.47813248,127.1311864
한강현대 아파트,37.55616,127.132008
송파성원상떼빌,37.494885,127.120093
풍납쌍용,37.527721,127.1181
방이동숙소,37.508808,127.118769
송파현대힐스테이트,37.531242,127.118256
가락시장,37.493512,127.116489
더샵스타리버 아파트,37.517678,127.104766
송파파인타운6단지 아파트,37.4805625,127.1319979
강일리버파크 6단지,37.564461,127.175877
송파더센트레,37.47935896,127.1401854
강동송파지사,37.52386516,127.1356659
송파파크데일1단지 아파트,37.49878666,127.1581012
위례송파푸르지오 아파트,37.48020939,127.13976
송파도서관(삭제예정),37.50240462,127.130453
송파도서관,37.5010097,127.134043
강동아트센터(강동문화재단),37.551183,127.1573277
문정근린공원 공영주차장,37.4859415,127.1236855
강동보건소,37.52944005,127.1255335
송파공영주차장,37.50700839,127.113349
